revision_id,page_title,state,article_quality,url
104730,"Abbeville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Abbeville,_Alabama"
104761,"Adamsville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Adamsville,_Alabama"
105188,"Addison, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Addison,_Alabama"
104726,"Akron, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Akron,_Alabama"
105109,"Alabaster, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Alabaster,_Alabama"
104899,"Albertville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Albertville,_Alabama"
105153,"Alexander City, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Alexander_City,_Alabama"
105086,"Aliceville, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Aliceville,_Alabama"
100811,"Allgood, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Allgood,_Alabama"
100812,"Altoona, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Altoona,_Alabama"
104595,"Andalusia, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Andalusia,_Alabama"
46726043,"Anderson, Lauderdale County, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama"
103733,"Anniston, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Anniston,_Alabama"
104617,"Arab, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Arab,_Alabama"
104850,"Ardmore, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Ardmore,_Alabama"
104764,"Argo, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Argo,_Alabama"
104630,"Ariton, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Ariton,_Alabama"
105189,"Arley, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Arley,_Alabama"
104734,"Ashford, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Ashford,_Alabama"
104574,"Ashland, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Ashland,_Alabama"
105125,"Ashville, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Ashville,_Alabama"
104851,"Athens, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Athens,_Alabama"
104682,"Atmore, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Atmore,_Alabama"
104688,"Attalla, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Attalla,_Alabama"
104844,"Auburn, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Auburn,_Alabama"
99880,"Autaugaville, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Autaugaville,_Alabama"
104735,"Avon, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Avon,_Alabama"
104596,"Babbie, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Babbie,_Alabama"
104618,"Baileyton, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Baileyton,_Alabama"
6022587,"Bakerhill, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Bakerhill,_Alabama"
105096,"Banks, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Banks,_Alabama"
99886,"Bay Minette, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Bay_Minette,_Alabama"
104904,"Bayou La Batre, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama"
104893,"Bear Creek, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Bear_Creek,_Alabama"
104923,"Beatrice, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Beatrice,_Alabama"
104820,"Beaverton, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Beaverton,_Alabama"
104700,"Belk, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Belk,_Alabama"
104859,"Benton, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Benton,_Alabama"
23831085,"Berlin, Alabama",Alabama,FA,"https://en.wikipedia.org/wiki/Berlin,_Alabama"
104765,"Bessemer, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Bessemer,_Alabama"
99882,"Billingsley, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Billingsley,_Alabama"
85427,"Birmingham, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Birmingham,_Alabama"
100813,"Blountsville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Blountsville,_Alabama"
100800,"Blue Springs, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Blue_Springs,_Alabama"
104689,"Boaz, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Boaz,_Alabama"
104722,"Boligee, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Boligee,_Alabama"
105142,"Bon Air, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Bon_Air,_Alabama"
104609,"Brantley, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Brantley,_Alabama"
100805,"Brent, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Brent,_Alabama"
104683,"Brewton, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Brewton,_Alabama"
